Entity,Score
httpie/cli.py::73,0.9728323699421966
httpie/cli.py::71,0.9728323699421966
httpie/cli.py::69,0.9728323699421966
httpie/cli.py::38,0.9206521739130434
httpie/cli.py::94,0.8743589743589743
httpie/cli.py::89,0.8743589743589743
httpie/cli.py::88,0.8743589743589743
httpie/cli.py::98,0.7958525345622119
httpie/cli.py::79,0.7958525345622119
httpie/cli.py::101,0.7958525345622119
httpie/cli.py::77,0.7622807017543859
httpie/cli.py::76,0.7622807017543859
httpie/cli.py::75,0.7622807017543859
httpie/cli.py::63,0.704
httpie/cli.py::62,0.704
httpie/cli.py::61,0.704
httpie/cli.py::60,0.704
httpie/cli.py::57,0.704
httpie/cli.py::56,0.704
httpie/cli.py::55,0.704
httpie/cli.py::54,0.704
httpie/cli.py::46,0.704
httpie/cli.py::48,0.678544061302682
httpie/cli.py::45,0.678544061302682
httpie/cli.py::44,0.678544061302682
httpie/cli.py::43,0.678544061302682
httpie/cli.py::42,0.678544061302682
httpie/cli.py::41,0.678544061302682
httpie/cli.py::103,0.6136054421768707
httpie/cli.py::74,0.5950819672131148
httpie/cli.py::72,0.5950819672131148
httpie/cli.py::70,0.5950819672131148
httpie/cli.py::68,0.5950819672131148
httpie/pretty.py::68,0.1
httpie/pretty.py::63,0.1
httpie/pretty.py::60,0.1
httpie/pretty.py::59,0.1
httpie/pretty.py::57,0.1
httpie/pretty.py::56,0.1
httpie/pretty.py::55,0.1
httpie/pretty.py::54,0.1
httpie/pretty.py::53,0.1
httpie/pretty.py::50,0.1
httpie/pretty.py::47,0.1
httpie/pretty.py::44,0.1
httpie/pretty.py::43,0.1
httpie/cli.py::91,0.1
httpie/cli.py::90,0.1
httpie/cli.py::87,0.1
httpie/cli.py::85,0.1
httpie/cli.py::84,0.1
httpie/cli.py::83,0.1
httpie/cli.py::82,0.1
httpie/cli.py::81,0.1
httpie/cli.py::80,0.1
httpie/cli.py::78,0.1
httpie/cli.py::51,0.1
httpie/cli.py::50,0.1
httpie/cli.py::124,0.1
httpie/cli.py::120,0.1
httpie/cli.py::119,0.1
httpie/cli.py::116,0.1
httpie/cli.py::115,0.1
httpie/cli.py::114,0.1
httpie/cli.py::113,0.1
httpie/__main__.py::99,0.1
httpie/__main__.py::96,0.1
httpie/__main__.py::95,0.1
httpie/__main__.py::94,0.1
httpie/__main__.py::93,0.1
httpie/__main__.py::91,0.1
httpie/__main__.py::82,0.1
httpie/__main__.py::81,0.1
httpie/__main__.py::80,0.1
httpie/__main__.py::79,0.1
httpie/__main__.py::78,0.1
httpie/__main__.py::77,0.1
httpie/__main__.py::76,0.1
httpie/__main__.py::75,0.1
httpie/__main__.py::74,0.1
httpie/__main__.py::73,0.1
httpie/__main__.py::50,0.1
httpie/__main__.py::49,0.1
httpie/__main__.py::48,0.1
httpie/__main__.py::46,0.1
httpie/__main__.py::45,0.1
httpie/__main__.py::44,0.1
httpie/__main__.py::43,0.1
httpie/__main__.py::42,0.1
httpie/__main__.py::41,0.1
httpie/__main__.py::40,0.1
httpie/__main__.py::38,0.1
httpie/__main__.py::37,0.1
httpie/__main__.py::36,0.1
httpie/__main__.py::35,0.1
httpie/__main__.py::34,0.1
httpie/__main__.py::29,0.1
httpie/__main__.py::28,0.1
httpie/__main__.py::27,0.1
httpie/__main__.py::26,0.1
httpie/__main__.py::191,0.1
httpie/__main__.py::189,0.1
httpie/__main__.py::188,0.1
httpie/__main__.py::187,0.1
httpie/__main__.py::186,0.1
httpie/__main__.py::185,0.1
httpie/__main__.py::184,0.1
httpie/__main__.py::174,0.1
httpie/__main__.py::171,0.1
httpie/__main__.py::169,0.1
httpie/__main__.py::168,0.1
httpie/__main__.py::166,0.1
httpie/__main__.py::155,0.1
httpie/__main__.py::154,0.1
httpie/__main__.py::153,0.1
httpie/__main__.py::152,0.1
httpie/__main__.py::151,0.1
httpie/__main__.py::150,0.1
httpie/__main__.py::149,0.1
httpie/__main__.py::148,0.1
httpie/__main__.py::147,0.1
httpie/__main__.py::146,0.1
httpie/__main__.py::145,0.1
httpie/__main__.py::143,0.1
httpie/__main__.py::142,0.1
httpie/__main__.py::141,0.1
httpie/__main__.py::139,0.1
httpie/__main__.py::138,0.1
httpie/__main__.py::137,0.1
httpie/__main__.py::134,0.1
httpie/__main__.py::133,0.1
httpie/__main__.py::132,0.1
httpie/__main__.py::131,0.1
httpie/__main__.py::130,0.1
httpie/__main__.py::129,0.1
httpie/__main__.py::128,0.1
httpie/__main__.py::127,0.1
httpie/__main__.py::126,0.1
httpie/__main__.py::119,0.1
httpie/__main__.py::111,0.1
httpie/__main__.py::108,0.1
httpie/__main__.py::107,0.1
httpie/__main__.py::106,0.1
httpie/__main__.py::105,0.1
httpie/__main__.py::104,0.1
httpie/__main__.py::103,0.1
httpie/__main__.py::102,0.1
httpie/__main__.py::101,0.1
httpie/__main__.py::100,0.1
